cycle,HI1,HI2,y1,HI3,HI4,y2
78,1320.8,2021,1.6411,0.054977,0.078639,1.565
79,1293,2000.6,1.6316,0.054524,0.078173,1.5653
80,1274.4,1990.4,1.6212,0.054412,0.078168,1.5598
81,1274.2,2006.3,1.6164,0.054512,0.076511,1.5499
82,1283.2,1963.2,1.6158,0.052352,0.077256,1.5439
83,1274.4,1945.2,1.6167,0.055583,0.077235,1.545
84,1264.6,1941.6,1.6109,0.054741,0.079018,1.5446
85,1254.8,1947.9,1.6007,0.055237,0.079939,1.5343
86,1236.6,1942.5,1.5959,0.057265,0.079423,1.5288
87,1236.4,1918.7,1.5962,0.051071,0.078765,1.5289
88,1236.4,1894,1.5958,0.055089,0.078067,1.5291
89,1227,1880.5,1.5907,0.055779,0.078243,1.5239
90,1264.6,1882.7,1.6888,0.058455,0.078088,1.5187
91,1283,1880.7,1.626,0.054873,0.081143,1.5136
92,1264.5,1946,1.6157,0.056899,0.078872,1.5136
93,1255.2,1979.1,1.6057,0.055743,0.080057,1.5139
94,1246,1952,1.595,0.054464,0.07792,1.534
95,1227,1924,1.5904,0.056043,0.079913,1.5236
96,1217.9,1900.4,1.5854,0.057197,0.081853,1.5136
97,1217.5,1881,1.58,0.05534,0.080867,1.5078
98,1208.7,1873.2,1.5752,0.057051,0.081538,1.5032
99,1198.8,1856.3,1.5698,0.057762,0.082066,1.4978
100,1199.1,1845.9,1.5703,0.057585,0.082933,1.4928
101,1189.8,1831.2,1.5652,0.056707,0.082688,1.4924
102,1180.6,1820.7,1.5596,0.058716,0.082942,1.4875
103,1180.3,1808.6,1.565,0.05711,0.08239,1.4825
104,1208.8,1799.8,1.575,0.057018,0.081657,1.4828
105,1189.6,1811.4,1.5653,0.057715,0.083974,1.477
106,1170.8,1849.1,1.5598,0.056868,0.083735,1.4819
107,1170.8,1822.4,1.5499,0.054657,0.081969,1.4771
108,1161.1,1795.7,1.5439,0.058554,0.081713,1.4721
109,1162.1,1784.5,1.545,0.05828,0.082822,1.4722
110,1152.4,1765,1.5446,0.065543,0.087126,1.467
111,1143.2,1769.9,1.5343,0.063437,0.089612,1.4618
112,1133.2,1759.6,1.5288,0.064091,0.089231,1.4567
113,1142.4,1733.9,1.5289,0.064945,0.088279,1.4514
114,1133.2,1721.4,1.5291,0.063091,0.090665,1.4516
115,1124.3,1724.4,1.5239,0.063568,0.090368,1.4468
116,1124.2,1726.7,1.5187,0.063543,0.089937,1.4468
117,1105.7,1712.4,1.5136,0.063628,0.09245,1.4414
118,1114.9,1689.9,1.5136,0.065901,0.090033,1.4362
119,1105.8,1676.2,1.5139,0.064349,0.092834,1.4368
120,1133.8,1680,1.534,0.064769,0.09122,1.4363
121,1143,1686.3,1.5391,0.063531,0.091167,1.4419
122,1124.1,1749.8,1.5236,0.066436,0.086716,1.4519
123,1105.8,1743.2,1.5136,0.063298,0.088374,1.4471
124,1104.8,1708.3,1.5078,0.061456,0.088896,1.4418
125,1096.5,1678.4,1.5032,0.063824,0.090174,1.4316
126,1086.9,1661.4,1.4978,0.064547,0.090248,1.4318
127,1086.7,1649.9,1.4928,0.062497,0.091155,1.4263
128,1067.6,1636.6,1.4924,0.063348,0.091726,1.4261
129,1058.1,1621.7,1.4875,0.067294,0.088776,1.4213
130,1068,1602.7,1.4825,0.065795,0.089137,1.4163
131,1058.4,1599.4,1.4828,0.067069,0.089317,1.4166
132,1049,1587.4,1.477,0.064909,0.090757,1.4108
133,1067.8,1575.6,1.4819,0.064685,0.09126,1.411
134,1077.4,1566.7,1.4981,0.064766,0.093315,1.4062
135,1067.4,1576.8,1.4821,0.064686,0.093572,1.4063
136,1048.9,1641.4,1.4771,0.064925,0.091327,1.4005
137,1039.7,1593,1.4721,0.062425,0.089812,1.4218
138,1049.4,1569.7,1.4722,,,
139,1040.1,1556.8,1.467,,,
140,1030.5,1557.4,1.4618,,,
141,1021.2,1553.8,1.4567,,,
142,1011.6,1532.1,1.4514,,,
143,1011.6,1514.4,1.4516,,,
144,1011.7,1499.8,1.4468,,,
145,1002.6,1506,1.4468,,,
146,1002,1494.4,1.4414,,,
147,992.91,1479.1,1.4362,,,
148,993.17,1461.2,1.4368,,,
149,993.05,1451.2,1.4363,,,
150,1002.5,1456.8,1.4419,,,
151,1021,1451.8,1.4672,,,
152,1011.6,1418.8,1.4519,,,
153,1002.5,1537,1.4471,,,
154,992.97,1511.1,1.4418,,,
155,984,1481.5,1.4316,,,
156,974.63,1464.5,1.4318,,,
157,974.45,1451.5,1.4263,,,
158,974.31,1447.2,1.4261,,,
159,964.86,1435.9,1.4213,,,
160,964.92,1420,1.4163,,,
161,955.45,1417.3,1.4166,,,
162,955.61,1404.5,1.4108,,,
163,955.16,1405.9,1.411,,,
164,955.47,1393.7,1.4062,,,
165,946.11,1390.2,1.4063,,,
166,936.44,1377.7,1.4005,,,
167,974.2,1375.3,1.4218,,,
168,974.47,1368.2,1.4325,,,
,,,,,,
