cycle,HI1,HI2,y1,HI3,HI4,y2
75,1047.4,1629.1,1.4833,,,
76,1039.2,1600,1.4807,,,
77,1031.8,1573.2,1.4735,,,
78,1020,1519.7,1.468,,,
79,1010,1541.5,1.4581,,,
80,1000.8,1521.7,1.4479,,,
81,991.88,1511,1.4528,,,
82,982.34,1490.1,1.4425,,,
83,984.44,1418.7,1.4393,,,
84,974.2,1456,1.4286,,,
85,963.83,1440.9,1.4249,,,
86,1015.6,1437,1.4698,,,
87,993.77,1429.1,1.4526,,,
88,971.51,1257.6,1.4428,,,
89,963.34,1505.2,1.4284,,,
90,951.81,1470.5,1.4155,,,
91,979.55,1436,1.4546,,,
92,967.84,1417.1,1.4283,,,
93,959.56,1233.6,1.4197,,,
94,949.28,1448.2,1.4156,,,
95,925.5,1426.1,1.4057,,,
96,940.52,1407.5,1.4084,,,
97,917.3,1386.3,1.3969,,,
98,919.86,1310.9,1.3936,,,
99,901.53,1369,1.3894,,,
100,894.72,1355.9,1.3786,,,
101,889.28,1340.1,1.3849,,,
102,889.03,1324.5,1.3703,,,
103,891.61,1237,1.3733,,,
104,880.31,1310.9,1.3679,,,
105,869.2,1302.1,1.3567,,,
106,999.09,1294.8,1.4604,,,
107,989.48,1283.3,1.4501,,,
108,979.17,1156.1,1.4381,,,
109,952.83,1486.7,1.4284,,,
110,944.26,1474,1.4148,,,
111,931.11,1455.8,1.4139,,,
112,921.95,1431.3,1.3989,,,
113,924.3,1350.9,1.3953,,,
114,925.75,1385,1.39,,,
115,901.56,1376.4,1.386,,,
116,889.88,1373.6,1.3882,,,
117,892.2,1365.3,1.3762,,,
118,867.16,1278.9,1.3647,,,
119,868.25,1336.5,1.359,,,
120,849,1307.9,1.3462,,,
121,940.17,1288.6,1.4268,,,
122,928.11,1271.2,1.4064,,,
123,903.33,1102,1.3935,,,
124,905.26,1408.8,1.3882,,,
125,894.06,1391,1.3702,,,
126,895.61,1371.1,1.3797,,,
127,884.41,1347.1,1.3687,,,
128,886.09,1262.9,1.3627,,,
129,872.34,1320.7,1.3634,,,
130,861.27,1315.5,1.3519,,,
131,849.64,1321.1,1.3548,,,
132,850.47,1311.3,1.3411,,,
,,,,,,
,,,,,,
