cycle,HI1,HI2,y1,HI3,HI4,y2
109,1030.9,1450.5,1.455,0.055889,0.082263,1.3546
110,1030.8,1433.1,1.449,0.058418,0.080298,1.3547
111,1011.8,1438.3,1.4387,0.056411,0.081922,1.3493
112,1002,1422.7,1.4334,0.05568,0.081774,1.3442
113,1002,1386.9,1.4334,0.05621,0.083281,1.339
114,1002.3,1374.3,1.4281,0.055795,0.08295,1.3389
115,993.27,1377.5,1.4229,0.0578,0.081903,1.334
116,983.67,1372.1,1.4174,0.055775,0.082947,1.3286
117,974.63,1352.6,1.4124,0.056559,0.082375,1.3232
118,983.64,1332.6,1.4126,0.053344,0.084486,1.3182
119,974.67,1319.2,1.4076,0.056262,0.083066,1.3185
120,1002.8,1322.2,1.4334,0.053394,0.083356,1.3183
121,1011.7,1321.4,1.4383,0.058545,0.088369,1.3239
122,983.66,1383.2,1.4174,0.061424,0.084964,1.3395
123,974.58,1394.4,1.407,0.059523,0.087208,1.329
124,955.17,1341.3,1.4012,0.059262,0.087779,1.3237
125,955.86,1308.2,1.3967,0.059524,0.08843,1.3186
126,946.36,1293.5,1.3913,0.059677,0.085844,1.3135
127,946.19,1277.1,1.3862,0.05976,0.086625,1.3132
128,927.13,1264,1.3804,0.059503,0.086369,1.3078
129,927.11,1251.7,1.3752,0.059556,0.088218,1.303
130,918.3,1232.4,1.3705,0.059491,0.08873,1.3034
131,918.09,1218.8,1.3705,0.060521,0.087536,1.3034
132,908.62,1214.1,1.3647,0.059827,0.088538,1.2979
133,936.63,1204.3,1.3754,0.057944,0.088905,1.2981
134,936.83,1188.1,1.3861,0.061759,0.084721,1.2935
135,926.92,1186.2,1.3699,0.058989,0.085736,1.288
136,908.55,1289,1.3648,0.05763,0.087424,1.2875
137,908.55,1215.2,1.3543,0.057824,0.089757,1.309
138,899.47,1194,1.3546,,,
139,899.55,1171,1.3547,,,
140,890.17,1181.5,1.3493,,,
141,880.58,1178.1,1.3442,,,
142,870.92,1153.6,1.339,,,
143,880.49,1133.3,1.3389,,,
144,871.31,1121.2,1.334,,,
145,861.86,1128,1.3286,,,
146,852.36,1116.1,1.3232,,,
147,852.52,1095.7,1.3182,,,
148,852.55,1075.3,1.3185,,,
149,843.08,1065.3,1.3183,,,
150,852.56,1073.3,1.3239,,,
151,889.97,1070.7,1.3601,,,
152,870.91,989.36,1.3395,,,
153,861.83,1169.1,1.329,,,
154,861.84,1130.2,1.3237,,,
155,843.31,1100.2,1.3186,,,
156,843.53,1083,1.3135,,,
157,843.06,1070.3,1.3132,,,
158,833.7,1060.2,1.3078,,,
159,824.38,1053.8,1.303,,,
160,824.53,1040.4,1.3034,,,
161,824.09,1032.8,1.3034,,,
162,815.08,1029.7,1.2979,,,
163,814.83,1030.8,1.2981,,,
164,815.05,1018.5,1.2935,,,
165,805.67,1013,1.288,,,
166,805.31,1005.1,1.2875,,,
167,833.73,995.33,1.309,,,
168,852.5,995.59,1.3251,,,
,,,,,,
